,rating,rating_title,rating_description,rating_pros,rating_cons
73,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
74,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
75,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
76,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
77,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
78,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
79,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
80,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
81,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
82,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
83,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
84,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
85,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
86,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
87,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
88,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
89,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
90,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
91,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
92,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
93,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
94,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
95,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
96,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
97,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
98,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
99,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
100,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
101,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
102,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
103,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
104,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
105,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
106,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
107,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
108,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
109,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
110,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
111,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
112,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
113,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
114,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
115,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
116,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
117,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
118,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
119,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
120,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
121,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
122,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
123,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
124,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
125,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
126,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
127,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
128,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
129,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
130,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
131,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
132,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
133,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
134,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
135,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
136,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
137,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
138,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
139,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
140,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
141,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
142,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
143,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
144,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
145,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
146,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
147,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
148,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
149,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
150,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
151,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
152,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
153,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
154,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
155,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
156,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
157,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
158,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
159,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
160,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
